neighborhood,building_class_category,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,sale_price,sale_date,latitude,longitude
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,300 CATHEDRAL PARKWAY,15G,10026,1.0,,1.0,,,1989.0,615000.0,2023-05-30,40.8007795,-73.9593039
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,2A,10026,1.0,,1.0,,,1989.0,537500.0,2023-11-30,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,2S,10026,1.0,,1.0,,,1989.0,720000.0,2023-09-22,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,4D,10026,1.0,,1.0,,,1989.0,582000.0,2023-08-31,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,5B,10026,1.0,,1.0,,,1989.0,560000.0,2023-06-01,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,7F,10026,1.0,,1.0,,,1989.0,720000.0,2024-01-30,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 WEST 110TH STREET,15C,10026,1.0,,1.0,,,1989.0,625000.0,2023-09-01,40.8009709,-73.9583448
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,301 CATHEDRAL PARKWAY,18B,10026,1.0,,1.0,,,1989.0,625000.0,2023-09-21,40.80111125,-73.9582269149277
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,321 WEST 110TH STREET,5C,10026,1.0,,1.0,,,2012.0,799000.0,2023-03-10,40.801287200000004,-73.95918979279082
MANHATTAN VALLEY,13 CONDOS - ELEVATOR APARTMENTS,321 CATHEDRAL PARKWAY,18C,10026,1.0,,1.0,,,2012.0,1999500.0,2023-09-01,40.80118916666667,-73.9599334375
